Embedding-based	Giggle-legacy
Brain_Inferior_Temporal_Lobe_Active_TSS	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Flanking_Active_TSS
HMEC_Mammary_Epithelial_Active_TSS	CD19_Primary_Cells_Peripheral_UW_Active_TSS
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS	Fetal_Lung_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Active_TSS	Pancreas_Active_TSS
Right_Atrium_Strong_transcription	CD14_Primary_Cells_Active_TSS
iPS_DF_19.11_Cell_Line_Active_TSS	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Active_TSS
Esophagus_Genic_enhancers	Rectal_Mucosa.Donor_31_Active_TSS
Monocytes_CD14pp_RO01746_Active_TSS	H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Active_TSS
Stomach_Smooth_Muscle_Genic_enhancers	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Active_TSS
Brain_Anterior_Caudate_Active_TSS	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Active_TSS
Brain_Germinal_Matrix_Genic_enhancers	Peripheral_Blood_Mononuclear_Primary_Cells_Flanking_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_ZNF_genes_and_repeats	H1_Derived_Mesenchymal_Stem_Cells_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Transcr_at_gene_5_and_3	Esophagus_Active_TSS
Fetal_Placenta_Active_TSS	Fetal_Placenta_Active_TSS
Fetal_Stomach_ZNF_genes_and_repeats	iPS_DF_19.11_Cell_Line_Active_TSS
iPS_20b_Cell_Line_Bivalent_Poised_TSS	Brain_Germinal_Matrix_Active_TSS
Skeletal_Muscle_Female_Active_TSS	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Active_TSS
Right_Atrium_Active_TSS	Fetal_Thymus_Active_TSS
CD15_Primary_Cells_Transcr_at_gene_5_and_3	Gastric_Active_TSS
Thymus_Active_TSS	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Transcr_at_gene_5_and_3	CD8_Naive_Primary_Cells_Flanking_Active_TSS
CD8_Memory_Primary_Cells_Repressed_PolyComb	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Active_TSS
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Bivalent_Poised_TSS	Fetal_Intestine_Small_Active_TSS
Stomach_Mucosa_Genic_enhancers	Muscle_Satellite_Cultured_Cells_Active_TSS
Peripheral_Blood_Mononuclear_Primary_Cells_Flanking_Active_TSS	Fetal_Kidney_Active_TSS
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Transcr_at_gene_5_and_3	CD4_Memory_Primary_Cells_Active_TSS
CD56_Primary_Cells_Active_TSS	CD8_Naive_Primary_Cells_Active_TSS
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Repressed_PolyComb	Psoas_Muscle_Active_TSS
Muscle_Satellite_Cultured_Cells_Active_TSS	H1_Derived_Neuronal_Progenitor_Cultured_Cells_Active_TSS
Mobilized_CD34_Primary_Cells_Female_Flanking_Active_TSS	NHEK_Epidermal_Keratinocytes_Active_TSS
Rectal_Smooth_Muscle_Active_TSS	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Active_TSS
Fetal_Brain_Male_Active_TSS	Colon_Smooth_Muscle_Active_TSS
CD15_Primary_Cells_Flanking_Active_TSS	Skeletal_Muscle_Male_Active_TSS
Brain_Cingulate_Gyrus_Active_TSS	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Active_TSS
Stomach_Smooth_Muscle_Transcr_at_gene_5_and_3	4star_Active_TSS
CD34_Primary_Cells_Flanking_Active_TSS	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Active_TSS
CD4pp_CD25__Th_Primary_Cells_Flanking_Active_TSS	CD3_Primary_Cells_Peripheral_UW_Flanking_Active_TSS
CD19_Primary_Cells_Cord_BI_Flanking_Active_TSS	Colonic_Mucosa_Active_TSS
Fetal_Muscle_Trunk_Enhancers	iPS_DF_6.9_Cell_Line_Active_TSS
Sigmoid_Colon_Repressed_PolyComb	Fetal_Intestine_Large_Active_TSS
Fetal_Thymus_ZNF_genes_and_repeats	HMEC_Mammary_Epithelial_Active_TSS
Duodenum_Smooth_Muscle_Active_TSS	CD34_Cultured_Cells_Active_TSS
Fetal_Thymus_Transcr_at_gene_5_and_3	Fetal_Muscle_Leg_Flanking_Active_TSS
iPS_DF_19.11_Cell_Line_Genic_enhancers	CD56_Primary_Cells_Active_TSS
Peripheral_Blood_Mononuclear_Primary_Cells_Transcr_at_gene_5_and_3	IMR90_Cell_Line_Active_TSS
Fetal_Intestine_Large_ZNF_genes_and_repeats	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
H9_Derived_Neuron_Cultured_Cells_Active_TSS	Brain_Angular_Gyrus_Active_TSS
Fetal_Muscle_Trunk_Repressed_PolyComb	Breast_Myoepithelial_Cells_Active_TSS
CD3_Primary_Cells_Cord_BI_Active_TSS	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Active_TSS
HUES6_Cell_Line_Bivalent_Poised_TSS	HSMM_Skeletal_Muscle_Myoblasts_Active_TSS
CD34_Cultured_Cells_Active_TSS	Aorta_Active_TSS
Thymus_Genic_enhancers	Brain_Mid_Frontal_Lobe_Active_TSS
Stomach_Smooth_Muscle_Active_TSS	Brain_Substantia_Nigra_Active_TSS
CD4_Naive_Primary_Cells_Repressed_PolyComb	CD3_Primary_Cells_Cord_BI_Active_TSS
Brain_Germinal_Matrix_Transcr_at_gene_5_and_3	Rectal_Smooth_Muscle_Active_TSS
Brain_Mid_Frontal_Lobe_Genic_enhancers	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Active_TSS
Spleen_ZNF_genes_and_repeats	CD4_Naive_Primary_Cells_Active_TSS
Fetal_Lung_Active_TSS	Fetal_Placenta_Flanking_Active_TSS
Fetal_Thymus_Active_TSS	Monocytes_CD14pp_RO01746_Flanking_Active_TSS
Pancreas_Genic_enhancers	CD3_Primary_Cells_Cord_BI_Flanking_Active_TSS
Neurosphere_Cultured_Cells_Cortex_Derived_Genic_enhancers	Osteoblasts_Active_TSS
HepG2_Hepatocellular_Carcinoma_Active_TSS	CD8_Memory_Primary_Cells_Active_TSS
iPS_20b_Cell_Line_Active_TSS	NHLF_Lung_Fibroblasts_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Genic_enhancers	Spleen_Active_TSS
HepG2_Hepatocellular_Carcinoma_Bivalent_Poised_TSS	Stomach_Smooth_Muscle_Active_TSS
HUES48_Cell_Line_Bivalent_Poised_TSS	Mobilized_CD34_Primary_Cells_Female_Active_TSS
Fetal_Placenta_ZNF_genes_and_repeats	Brain_Cingulate_Gyrus_Active_TSS
Fetal_Muscle_Leg_Active_TSS	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Active_TSS
Brain_Cingulate_Gyrus_Genic_enhancers	Ovary_Active_TSS
Spleen_Enhancers	CD15_Primary_Cells_Active_TSS
Thymus_ZNF_genes_and_repeats	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Active_TSS
CD19_Primary_Cells_Peripheral_UW_Bivalent_Enhancer	Rectal_Mucosa.Donor_31_Flanking_Active_TSS
iPS_18_Cell_Line_Bivalent_Poised_TSS	CD4pp_CD25__Th_Primary_Cells_Active_TSS
CD14_Primary_Cells_Transcr_at_gene_5_and_3	Fetal_Brain_Female_Active_TSS
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Genic_enhancers	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
Fetal_Stomach_Genic_enhancers	Brain_Hippocampus_Middle_Active_TSS
Colonic_Mucosa_Repressed_PolyComb	H9_Derived_Neuron_Cultured_Cells_Flanking_Active_TSS
NHLF_Lung_Fibroblasts_Genic_enhancers	Duodenum_Mucosa_Active_TSS
Gastric_Genic_enhancers	NHDF_Ad_Adult_Dermal_Fibroblasts_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Transcr_at_gene_5_and_3	Brain_Inferior_Temporal_Lobe_Active_TSS
Brain_Inferior_Temporal_Lobe_Genic_enhancers	Adult_Liver_Active_TSS
Fetal_Placenta_Enhancers	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Active_TSS
Skeletal_Muscle_Male_Genic_enhancers	Brain_Anterior_Caudate_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Active_TSS	H1_Cell_Line_Active_TSS
NHLF_Lung_Fibroblasts_Transcr_at_gene_5_and_3	Rectal_Mucosa.Donor_29_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Transcr_at_gene_5_and_3	Duodenum_Smooth_Muscle_Active_TSS
Duodenum_Mucosa_Genic_enhancers	CD3_Primary_Cells_Peripheral_UW_Active_TSS
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Active_TSS	Thymus_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Transcr_at_gene_5_and_3	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Active_TSS
Fetal_Adrenal_Gland_Transcr_at_gene_5_and_3	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Transcr_at_gene_5_and_3
K562_Leukemia_Active_TSS	CD4_Memory_Primary_Cells_Flanking_Active_TSS
Adipose_Nuclei_Active_TSS	ES_WA7_Cell_Line_Active_TSS
H9_Cell_Line_Bivalent_Poised_TSS	Adipose_Nuclei_Active_TSS
Esophagus_Transcr_at_gene_5_and_3	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Active_TSS
HepG2_Hepatocellular_Carcinoma_Transcr_at_gene_5_and_3	Skeletal_Muscle_Male_Flanking_Active_TSS
CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Active_TSS	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Transcr_at_gene_5_and_3
GM12878_Lymphoblastoid_Active_TSS	H9_Cell_Line_Active_TSS
Brain_Mid_Frontal_Lobe_Active_TSS	Fetal_Thymus_Flanking_Active_TSS
CD19_Primary_Cells_Peripheral_UW_Transcr_at_gene_5_and_3	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Flanking_Active_TSS
HeLa_S3_Cervical_Carcinoma_Active_TSS	Mobilized_CD34_Primary_Cells_Male_Active_TSS
Pancreatic_Islets_Bivalent_Poised_TSS	HeLa_S3_Cervical_Carcinoma_Active_TSS
CD4_Memory_Primary_Cells_Repressed_PolyComb	Monocytes_CD14pp_RO01746_Active_TSS
Breast_Myoepithelial_Cells_Transcr_at_gene_5_and_3	Fetal_Brain_Male_Active_TSS
Thymus_Transcr_at_gene_5_and_3	iPS_18_Cell_Line_Active_TSS
Aorta_Repressed_PolyComb	HUES48_Cell_Line_Active_TSS
CD56_Primary_Cells_Enhancers	Pancreatic_Islets_Active_TSS
CD3_Primary_Cells_Peripheral_UW_Transcr_at_gene_5_and_3	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
Peripheral_Blood_Mononuclear_Primary_Cells_Genic_enhancers	CD34_Primary_Cells_Active_TSS
4star_ZNF_genes_and_repeats	HUES64_Cell_Line_Active_TSS
Fetal_Intestine_Large_Genic_enhancers	K562_Leukemia_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_ZNF_genes_and_repeats	CD4_Naive_Primary_Cells_Flanking_Active_TSS
Right_Ventricle_Active_TSS	iPS_15b_Cell_Line_Active_TSS
Adipose_Nuclei_Genic_enhancers	Fetal_Brain_Male_Flanking_Active_TSS
IMR90_Cell_Line_Genic_enhancers	HepG2_Hepatocellular_Carcinoma_Bivalent_Poised_TSS
Left_Ventricle_Enhancers	Duodenum_Mucosa_Flanking_Active_TSS
CD34_Cultured_Cells_Flanking_Active_TSS	Dnd41_TCell_Leukemia_Flanking_Active_TSS
Fetal_Adrenal_Gland_ZNF_genes_and_repeats	HUES6_Cell_Line_Active_TSS
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS	A549_EtOH_0.02pct_Lung_Carcinoma_Active_TSS
Brain_Substantia_Nigra_Active_TSS	CD19_Primary_Cells_Cord_BI_Active_TSS
A549_EtOH_0.02pct_Lung_Carcinoma_Active_TSS	hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Active_TSS
Brain_Hippocampus_Middle_Genic_enhancers	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Active_TSS
Right_Ventricle_Enhancers	ES_I3_Cell_Line_Active_TSS
NHEK_Epidermal_Keratinocytes_Active_TSS	Fetal_Stomach_Flanking_Active_TSS
CD56_Primary_Cells_Transcr_at_gene_5_and_3	iPS_20b_Cell_Line_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Genic_enhancers	NH_A_Astrocytes_Flanking_Active_TSS
H1_Cell_Line_Genic_enhancers	CD8_Memory_Primary_Cells_Flanking_Active_TSS
Brain_Mid_Frontal_Lobe_Repressed_PolyComb	HepG2_Hepatocellular_Carcinoma_Active_TSS
Fetal_Brain_Female_Genic_enhancers	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Flanking_Active_TSS
H1_BMP4_Derived_Trophoblast_Cultured_Cells_Enhancers	Fetal_Lung_Flanking_Active_TSS
Mobilized_CD34_Primary_Cells_Male_Flanking_Active_TSS	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Flanking_Active_TSS
Fetal_Muscle_Trunk_Genic_enhancers	GM12878_Lymphoblastoid_Active_TSS
Fetal_Brain_Female_Transcr_at_gene_5_and_3	Right_Atrium_Transcr_at_gene_5_and_3
Fetal_Placenta_Genic_enhancers	Osteoblasts_Flanking_Active_TSS
Brain_Anterior_Caudate_Genic_enhancers	Peripheral_Blood_Mononuclear_Primary_Cells_Active_TSS
Rectal_Smooth_Muscle_Repressed_PolyComb	Fetal_Muscle_Trunk_Flanking_Active_TSS
Fetal_Muscle_Trunk_Bivalent_Enhancer	Placenta_Amnion_Flanking_Active_TSS
Brain_Cingulate_Gyrus_Bivalent_Poised_TSS	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Bivalent_Poised_TSS
Brain_Angular_Gyrus_Bivalent_Poised_TSS	Stomach_Smooth_Muscle_Flanking_Active_TSS
Adipose_Nuclei_Flanking_Active_TSS	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Flanking_Active_TSS
HUES64_Cell_Line_Bivalent_Poised_TSS	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Flanking_Active_TSS
Brain_Angular_Gyrus_Active_TSS	Thymus_Flanking_Active_TSS
Skeletal_Muscle_Female_Genic_enhancers	HMEC_Mammary_Epithelial_Flanking_Active_TSS
HUVEC_Umbilical_Vein_Endothelial_Cells_Active_TSS	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Bivalent_Poised_TSS
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Active_TSS	Brain_Cingulate_Gyrus_Flanking_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Genic_enhancers	Brain_Substantia_Nigra_Flanking_Active_TSS
Rectal_Mucosa.Donor_29_Genic_enhancers	Brain_Hippocampus_Middle_Flanking_Active_TSS
IMR90_Cell_Line_Transcr_at_gene_5_and_3	Rectal_Mucosa.Donor_29_Flanking_Active_TSS
Dnd41_TCell_Leukemia_Flanking_Bivalent_TSS_Enh	Spleen_Flanking_Active_TSS
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Active_TSS	Stomach_Mucosa_Flanking_Active_TSS
Fetal_Intestine_Small_Genic_enhancers	Brain_Angular_Gyrus_Flanking_Active_TSS
Dnd41_TCell_Leukemia_Flanking_Active_TSS	NHEK_Epidermal_Keratinocytes_Flanking_Active_TSS
Brain_Angular_Gyrus_Genic_enhancers	Brain_Germinal_Matrix_Bivalent_Poised_TSS
Fetal_Intestine_Small_ZNF_genes_and_repeats	Brain_Anterior_Caudate_Flanking_Active_TSS
CD8_Memory_Primary_Cells_Active_TSS	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Flanking_Active_TSS
Brain_Anterior_Caudate_Repressed_PolyComb	Fetal_Brain_Female_Flanking_Active_TSS
NHEK_Epidermal_Keratinocytes_Transcr_at_gene_5_and_3	Fetal_Intestine_Small_Flanking_Active_TSS
CD4pp_CD25__Th_Primary_Cells_Transcr_at_gene_5_and_3	Breast_vHMEC_Flanking_Active_TSS
Pancreas_Enhancers	Pancreas_Flanking_Active_TSS
CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Transcr_at_gene_5_and_3	Brain_Germinal_Matrix_Flanking_Active_TSS
Left_Ventricle_Transcr_at_gene_5_and_3	Rectal_Smooth_Muscle_Flanking_Active_TSS
H1_Cell_Line_Enhancers	Brain_Inferior_Temporal_Lobe_Flanking_Active_TSS
Rectal_Mucosa.Donor_31_Genic_enhancers	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Bivalent_Poised_TSS
Fetal_Thymus_Enhancers	Colon_Smooth_Muscle_Flanking_Active_TSS
Fetal_Adrenal_Gland_Active_TSS	Colonic_Mucosa_Flanking_Active_TSS
H1_Cell_Line_Bivalent_Poised_TSS	Sigmoid_Colon_Flanking_Active_TSS
Monocytes_CD14pp_RO01746_Transcr_at_gene_5_and_3	4star_Flanking_Active_TSS
Colon_Smooth_Muscle_Genic_enhancers	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Flanking_Active_TSS
IMR90_Cell_Line_Active_TSS	Small_Intestine_Flanking_Active_TSS
NHDF_Ad_Adult_Dermal_Fibroblasts_Active_TSS	H1_Derived_Mesenchymal_Stem_Cells_Flanking_Active_TSS
H1_Derived_Mesenchymal_Stem_Cells_Enhancers	Muscle_Satellite_Cultured_Cells_Flanking_Active_TSS
Breast_Myoepithelial_Cells_Active_TSS	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Transcr_at_gene_5_and_3
ES_I3_Cell_Line_Bivalent_Poised_TSS	Fetal_Thymus_Bivalent_Poised_TSS
Neurosphere_Cultured_Cells_Cortex_Derived_Active_TSS	Fetal_Intestine_Large_Flanking_Active_TSS
Mobilized_CD34_Primary_Cells_Male_Flanking_Bivalent_TSS_Enh	H1_Derived_Neuronal_Progenitor_Cultured_Cells_Flanking_Active_TSS
Spleen_Repressed_PolyComb	Brain_Mid_Frontal_Lobe_Flanking_Active_TSS
iPS_15b_Cell_Line_Transcr_at_gene_5_and_3	Lung_Flanking_Active_TSS
CD34_Cultured_Cells_Transcr_at_gene_5_and_3	HeLa_S3_Cervical_Carcinoma_Flanking_Active_TSS
Stomach_Mucosa_Transcr_at_gene_5_and_3	Duodenum_Smooth_Muscle_Flanking_Active_TSS
Rectal_Smooth_Muscle_Genic_enhancers	iPS_DF_19.11_Cell_Line_Transcr_at_gene_5_and_3
H1_BMP4_Derived_Trophoblast_Cultured_Cells_Repressed_PolyComb	IMR90_Cell_Line_Flanking_Active_TSS
NHLF_Lung_Fibroblasts_Active_TSS	CD14_Primary_Cells_Bivalent_Poised_TSS
Muscle_Satellite_Cultured_Cells_Transcr_at_gene_5_and_3	CD3_Primary_Cells_Peripheral_UW_Bivalent_Poised_TSS
Brain_Substantia_Nigra_Genic_enhancers	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Flanking_Active_TSS
CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Active_TSS	Breast_Myoepithelial_Cells_Flanking_Active_TSS
Fetal_Muscle_Leg_Enhancers	Fetal_Kidney_Flanking_Active_TSS
Ovary_Enhancers	Esophagus_Flanking_Active_TSS
Fetal_Brain_Male_Bivalent_Enhancer	Left_Ventricle_Flanking_Active_TSS
CD4_Naive_Primary_Cells_Transcr_at_gene_5_and_3	CD56_Primary_Cells_Bivalent_Poised_TSS
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Bivalent_Poised_TSS	Fetal_Thymus_Flanking_Bivalent_TSS_Enh
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Genic_enhancers	H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Flanking_Active_TSS
H1_Derived_Mesenchymal_Stem_Cells_ZNF_genes_and_repeats	CD19_Primary_Cells_Peripheral_UW_Bivalent_Poised_TSS
CD56_Primary_Cells_Bivalent_Enhancer	CD14_Primary_Cells_Flanking_Bivalent_TSS_Enh
Fetal_Placenta_Repressed_PolyComb	Right_Ventricle_Flanking_Active_TSS
Placenta_Amnion_Enhancers	Dnd41_TCell_Leukemia_Bivalent_Poised_TSS
Fetal_Placenta_Transcr_at_gene_5_and_3	Stomach_Mucosa_Bivalent_Poised_TSS
Right_Ventricle_Transcr_at_gene_5_and_3	Gastric_Flanking_Active_TSS
Breast_Myoepithelial_Cells_Genic_enhancers	CD15_Primary_Cells_Flanking_Bivalent_TSS_Enh
CD34_Cultured_Cells_Genic_enhancers	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Bivalent_Poised_TSS
CD4_Naive_Primary_Cells_Active_TSS	Dnd41_TCell_Leukemia_Flanking_Bivalent_TSS_Enh
CD3_Primary_Cells_Peripheral_UW_Enhancers	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS
iPS_DF_19.11_Cell_Line_ZNF_genes_and_repeats	Fetal_Muscle_Trunk_Bivalent_Poised_TSS
Lung_Enhancers	CD56_Primary_Cells_Flanking_Bivalent_TSS_Enh
Sigmoid_Colon_Genic_enhancers	CD8_Naive_Primary_Cells_Bivalent_Poised_TSS
HUES6_Cell_Line_Genic_enhancers	H1_Cell_Line_Flanking_Active_TSS
ES_WA7_Cell_Line_Bivalent_Poised_TSS	GM12878_Lymphoblastoid_Bivalent_Poised_TSS
A549_EtOH_0.02pct_Lung_Carcinoma_Bivalent_Poised_TSS	CD8_Memory_Primary_Cells_Bivalent_Poised_TSS
Duodenum_Smooth_Muscle_Bivalent_Poised_TSS	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Bivalent_Poised_TSS
CD4_Memory_Primary_Cells_Transcr_at_gene_5_and_3	Fetal_Placenta_Bivalent_Poised_TSS
Skeletal_Muscle_Female_Transcr_at_gene_5_and_3	CD4_Naive_Primary_Cells_Bivalent_Poised_TSS
Brain_Substantia_Nigra_Repressed_PolyComb	iPS_DF_19.11_Cell_Line_Flanking_Active_TSS
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Bivalent_Poised_TSS	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Flanking_Active_TSS
Fetal_Adrenal_Gland_Genic_enhancers	Breast_vHMEC_Flanking_Bivalent_TSS_Enh
Mobilized_CD34_Primary_Cells_Male_Genic_enhancers	iPS_DF_6.9_Cell_Line_Transcr_at_gene_5_and_3
