Embedding-based	Giggle-legacy
HeLa_S3_Cervical_Carcinoma_Transcr_at_gene_5_and_3	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Active_TSS
CD4_Naive_Primary_Cells_Transcr_at_gene_5_and_3	iPS_20b_Cell_Line_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Genic_enhancers	Lung_Active_TSS
H1_Cell_Line_Transcr_at_gene_5_and_3	Breast_Myoepithelial_Cells_Active_TSS
Left_Ventricle_Genic_enhancers	ES_WA7_Cell_Line_Active_TSS
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Enhancers	Fetal_Brain_Female_Active_TSS
Fetal_Brain_Female_Genic_enhancers	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Active_TSS
Right_Atrium_Enhancers	Colon_Smooth_Muscle_Active_TSS
Neurosphere_Cultured_Cells_Cortex_Derived_Flanking_Active_TSS	ES_I3_Cell_Line_Active_TSS
ES_WA7_Cell_Line_Enhancers	HMEC_Mammary_Epithelial_Active_TSS
Rectal_Smooth_Muscle_Genic_enhancers	Brain_Mid_Frontal_Lobe_Active_TSS
Brain_Inferior_Temporal_Lobe_Enhancers	NH_A_Astrocytes_Active_TSS
Ovary_Enhancers	Esophagus_Active_TSS
H1_BMP4_Derived_Trophoblast_Cultured_Cells_Enhancers	hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Active_TSS
H1_Cell_Line_Genic_enhancers	Brain_Angular_Gyrus_Active_TSS
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Transcr_at_gene_5_and_3	Ovary_Active_TSS
4star_Enhancers	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
CD3_Primary_Cells_Peripheral_UW_Transcr_at_gene_5_and_3	Right_Ventricle_Active_TSS
Adult_Liver_Transcr_at_gene_5_and_3	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
Rectal_Mucosa.Donor_29_Enhancers	HeLa_S3_Cervical_Carcinoma_Active_TSS
iPS_15b_Cell_Line_Transcr_at_gene_5_and_3	Aorta_Active_TSS
Monocytes_CD14pp_RO01746_Transcr_at_gene_5_and_3	Fetal_Muscle_Trunk_Active_TSS
Brain_Hippocampus_Middle_Transcr_at_gene_5_and_3	Fetal_Adrenal_Gland_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Transcr_at_gene_5_and_3	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Active_TSS
ES_I3_Cell_Line_Genic_enhancers	K562_Leukemia_Active_TSS
CD34_Cultured_Cells_Transcr_at_gene_5_and_3	Brain_Cingulate_Gyrus_Active_TSS
Peripheral_Blood_Mononuclear_Primary_Cells_Genic_enhancers	Fetal_Muscle_Leg_Active_TSS
Duodenum_Mucosa_Transcr_at_gene_5_and_3	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Active_TSS
Duodenum_Mucosa_Enhancers	Pancreas_Active_TSS
Fetal_Brain_Female_Enhancers	Brain_Germinal_Matrix_Active_TSS
Fetal_Lung_Genic_enhancers	Brain_Inferior_Temporal_Lobe_Active_TSS
Rectal_Mucosa.Donor_31_Transcr_at_gene_5_and_3	Fetal_Heart_Active_TSS
Adult_Liver_Flanking_Active_TSS	Brain_Substantia_Nigra_Active_TSS
Pancreas_Enhancers	Neurosphere_Cultured_Cells_Cortex_Derived_Flanking_Active_TSS
Mobilized_CD34_Primary_Cells_Female_Transcr_at_gene_5_and_3	A549_EtOH_0.02pct_Lung_Carcinoma_Active_TSS
Small_Intestine_Enhancers	Pancreatic_Islets_Active_TSS
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Transcr_at_gene_5_and_3	Gastric_Active_TSS
Brain_Anterior_Caudate_Genic_enhancers	Thymus_Active_TSS
Osteoblasts_Transcr_at_gene_5_and_3	Rectal_Smooth_Muscle_Active_TSS
Thymus_Enhancers	Duodenum_Smooth_Muscle_Active_TSS
H1_Cell_Line_Enhancers	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Active_TSS
CD34_Primary_Cells_Genic_enhancers	Brain_Anterior_Caudate_Active_TSS
Right_Ventricle_Enhancers	Brain_Hippocampus_Middle_Active_TSS
H9_Cell_Line_Enhancers	Neurosphere_Cultured_Cells_Cortex_Derived_Active_TSS
H9_Cell_Line_ZNF_genes_and_repeats	hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Flanking_Active_TSS
Left_Ventricle_Enhancers	CD8_Memory_Primary_Cells_Active_TSS
H1_Derived_Mesenchymal_Stem_Cells_Enhancers	Osteoblasts_Active_TSS
H9_Derived_Neuron_Cultured_Cells_Genic_enhancers	CD4_Memory_Primary_Cells_Active_TSS
Colon_Smooth_Muscle_Transcr_at_gene_5_and_3	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Active_TSS
Psoas_Muscle_Transcr_at_gene_5_and_3	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Active_TSS
H1_Derived_Neuronal_Progenitor_Cultured_Cells_Enhancers	H1_Derived_Mesenchymal_Stem_Cells_Active_TSS
CD19_Primary_Cells_Cord_BI_Flanking_Active_TSS	Fetal_Thymus_Active_TSS
NHLF_Lung_Fibroblasts_ZNF_genes_and_repeats	Fetal_Adrenal_Gland_Flanking_Active_TSS
Duodenum_Smooth_Muscle_Enhancers	Fetal_Stomach_Flanking_Active_TSS
Brain_Anterior_Caudate_Enhancers	iPS_DF_19.11_Cell_Line_Active_TSS
CD3_Primary_Cells_Peripheral_UW_Flanking_Active_TSS	Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Flanking_Active_TSS
HMEC_Mammary_Epithelial_Transcr_at_gene_5_and_3	Right_Atrium_Active_TSS
CD4pp_CD25__Th_Primary_Cells_Flanking_Active_TSS	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Active_TSS
CD19_Primary_Cells_Peripheral_UW_Transcr_at_gene_5_and_3	CD4_Naive_Primary_Cells_Active_TSS
H9_Derived_Neuronal_Progenitor_Cultured_Cells_Genic_enhancers	HUVEC_Umbilical_Vein_Endothelial_Cells_Active_TSS
NHEK_Epidermal_Keratinocytes_Flanking_Active_TSS	Colonic_Mucosa_Active_TSS
HepG2_Hepatocellular_Carcinoma_Transcr_at_gene_5_and_3	Fetal_Brain_Male_Active_TSS
CD19_Primary_Cells_Cord_BI_Transcr_at_gene_5_and_3	Fetal_Muscle_Leg_Flanking_Active_TSS
Ovary_ZNF_genes_and_repeats	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Active_TSS
Brain_Angular_Gyrus_Enhancers	Fetal_Brain_Male_Flanking_Active_TSS
Left_Ventricle_ZNF_genes_and_repeats	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Flanking_Active_TSS
GM12878_Lymphoblastoid_Flanking_Active_TSS	GM12878_Lymphoblastoid_Active_TSS
GM12878_Lymphoblastoid_Enhancers	CD8_Naive_Primary_Cells_Active_TSS
Brain_Mid_Frontal_Lobe_Genic_enhancers	Rectal_Mucosa.Donor_31_Active_TSS
A549_EtOH_0.02pct_Lung_Carcinoma_Transcr_at_gene_5_and_3	Breast_vHMEC_Flanking_Active_TSS
Aorta_Repressed_PolyComb	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Active_TSS
Skeletal_Muscle_Female_Transcr_at_gene_5_and_3	Dnd41_TCell_Leukemia_Active_TSS
Rectal_Mucosa.Donor_31_Enhancers	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Active_TSS
Fetal_Brain_Male_Active_TSS	H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Flanking_Active_TSS
NHDF_Ad_Adult_Dermal_Fibroblasts_Transcr_at_gene_5_and_3	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Active_TSS
Rectal_Mucosa.Donor_31_Genic_enhancers	Rectal_Mucosa.Donor_29_Active_TSS
HUES6_Cell_Line_Genic_enhancers	Fetal_Brain_Female_Flanking_Active_TSS
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_ZNF_genes_and_repeats	Brain_Germinal_Matrix_Flanking_Active_TSS
Placenta_Amnion_Enhancers	Fetal_Placenta_Active_TSS
HUES6_Cell_Line_Transcr_at_gene_5_and_3	HepG2_Hepatocellular_Carcinoma_Bivalent_Poised_TSS
Brain_Cingulate_Gyrus_Enhancers	HepG2_Hepatocellular_Carcinoma_Active_TSS
Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Transcr_at_gene_5_and_3	CD3_Primary_Cells_Cord_BI_Active_TSS
Colonic_Mucosa_Enhancers	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Flanking_Active_TSS
Rectal_Smooth_Muscle_Transcr_at_gene_5_and_3	Small_Intestine_Flanking_Active_TSS
NHEK_Epidermal_Keratinocytes_Transcr_at_gene_5_and_3	Fetal_Intestine_Small_Flanking_Active_TSS
CD34_Primary_Cells_Flanking_Active_TSS	Fetal_Lung_Flanking_Active_TSS
Fetal_Lung_Transcr_at_gene_5_and_3	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Transcr_at_gene_5_and_3
NHLF_Lung_Fibroblasts_Transcr_at_gene_5_and_3	Duodenum_Mucosa_Active_TSS
Right_Ventricle_ZNF_genes_and_repeats	H1_Derived_Neuronal_Progenitor_Cultured_Cells_Flanking_Active_TSS
Brain_Inferior_Temporal_Lobe_Genic_enhancers	CD34_Primary_Cells_Flanking_Active_TSS
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Transcr_at_gene_5_and_3	Fetal_Intestine_Large_Flanking_Active_TSS
Stomach_Smooth_Muscle_Transcr_at_gene_5_and_3	Fetal_Kidney_Flanking_Active_TSS
Skeletal_Muscle_Male_Flanking_Active_TSS	Fetal_Placenta_Flanking_Active_TSS
Brain_Anterior_Caudate_Transcr_at_gene_5_and_3	Fetal_Thymus_Flanking_Active_TSS
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Transcr_at_gene_5_and_3	H1_Cell_Line_Flanking_Active_TSS
Brain_Germinal_Matrix_Enhancers	Placenta_Amnion_Flanking_Active_TSS
Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Transcr_at_gene_5_and_3	Peripheral_Blood_Mononuclear_Primary_Cells_Flanking_Active_TSS
Duodenum_Mucosa_Genic_enhancers	Skeletal_Muscle_Male_Active_TSS
CD15_Primary_Cells_Flanking_Active_TSS	Adipose_Nuclei_Flanking_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Enhancers	Brain_Angular_Gyrus_Flanking_Active_TSS
4star_Transcr_at_gene_5_and_3	4star_Flanking_Active_TSS
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Transcr_at_gene_5_and_3	CD19_Primary_Cells_Peripheral_UW_Flanking_Active_TSS
Monocytes_CD14pp_RO01746_Enhancers	H9_Derived_Neuron_Cultured_Cells_Transcr_at_gene_5_and_3
Spleen_Enhancers	Stomach_Smooth_Muscle_Active_TSS
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Genic_enhancers	Fetal_Muscle_Trunk_Flanking_Active_TSS
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Genic_enhancers	Sigmoid_Colon_Flanking_Active_TSS
HMEC_Mammary_Epithelial_Flanking_Active_TSS	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Active_TSS
Brain_Germinal_Matrix_Transcr_at_gene_5_and_3	HUVEC_Umbilical_Vein_Endothelial_Cells_Flanking_Active_TSS
iPS_18_Cell_Line_Transcr_at_gene_5_and_3	Brain_Cingulate_Gyrus_Flanking_Active_TSS
HeLa_S3_Cervical_Carcinoma_ZNF_genes_and_repeats	H1_BMP4_Derived_Trophoblast_Cultured_Cells_Flanking_Active_TSS
HSMM_Skeletal_Muscle_Myoblasts_ZNF_genes_and_repeats	CD56_Primary_Cells_Flanking_Active_TSS
IMR90_Cell_Line_Transcr_at_gene_5_and_3	CD14_Primary_Cells_Flanking_Active_TSS
Brain_Cingulate_Gyrus_Transcr_at_gene_5_and_3	HMEC_Mammary_Epithelial_Flanking_Active_TSS
CD14_Primary_Cells_Flanking_Active_TSS	Brain_Mid_Frontal_Lobe_Flanking_Active_TSS
Fetal_Muscle_Trunk_Enhancers	Duodenum_Smooth_Muscle_Flanking_Active_TSS
Neurosphere_Cultured_Cells_Ganglionic_Eminence_Derived_Flanking_Active_TSS	NH_A_Astrocytes_Flanking_Active_TSS
HUES64_Cell_Line_Transcr_at_gene_5_and_3	Brain_Hippocampus_Middle_Flanking_Active_TSS
Muscle_Satellite_Cultured_Cells_Transcr_at_gene_5_and_3	CD34_Cultured_Cells_Flanking_Active_TSS
K562_Leukemia_Transcr_at_gene_5_and_3	Brain_Anterior_Caudate_Flanking_Active_TSS
Pancreatic_Islets_Transcr_at_gene_5_and_3	CD4pp_CD25__Th_Primary_Cells_Flanking_Active_TSS
Stomach_Smooth_Muscle_Flanking_Active_TSS	CD34_Cultured_Cells_Active_TSS
Fetal_Muscle_Leg_Transcr_at_gene_5_and_3	Brain_Substantia_Nigra_Flanking_Active_TSS
Skeletal_Muscle_Female_Flanking_Active_TSS	Mobilized_CD34_Primary_Cells_Female_Flanking_Active_TSS
Brain_Germinal_Matrix_Genic_enhancers	Breast_Myoepithelial_Cells_Flanking_Active_TSS
Aorta_Transcr_at_gene_5_and_3	CD8_Naive_Primary_Cells_Flanking_Active_TSS
Mobilized_CD34_Primary_Cells_Female_Flanking_Active_TSS	IMR90_Cell_Line_Flanking_Active_TSS
A549_EtOH_0.02pct_Lung_Carcinoma_Enhancers	Thymus_Flanking_Active_TSS
Lung_Enhancers	Colon_Smooth_Muscle_Flanking_Active_TSS
Adipose_Nuclei_Transcr_at_gene_5_and_3	Skeletal_Muscle_Female_Active_TSS
Fetal_Intestine_Large_Transcr_at_gene_5_and_3	Brain_Inferior_Temporal_Lobe_Flanking_Active_TSS
CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Flanking_Active_TSS	Spleen_Active_TSS
Stomach_Smooth_Muscle_Active_TSS	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS
H1_BMP4_Derived_Mesendoderm_Cultured_Cells_Enhancers	Stomach_Mucosa_Flanking_Active_TSS
Esophagus_Enhancers	CD14_Primary_Cells_Active_TSS
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Enhancers	CD19_Primary_Cells_Cord_BI_Flanking_Active_TSS
HUES6_Cell_Line_Enhancers	Rectal_Mucosa.Donor_31_Flanking_Active_TSS
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Enhancers	Left_Ventricle_Flanking_Active_TSS
Peripheral_Blood_Mononuclear_Primary_Cells_Enhancers	CD3_Primary_Cells_Peripheral_UW_Flanking_Active_TSS
K562_Leukemia_Enhancers	CD19_Primary_Cells_Peripheral_UW_Active_TSS
iPS_20b_Cell_Line_Genic_enhancers	Adult_Liver_Flanking_Active_TSS
Fetal_Adrenal_Gland_Transcr_at_gene_5_and_3	Rectal_Smooth_Muscle_Flanking_Active_TSS
Brain_Hippocampus_Middle_Enhancers	H9_Cell_Line_Flanking_Active_TSS
iPS_20b_Cell_Line_Transcr_at_gene_5_and_3	Psoas_Muscle_Flanking_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Transcr_at_gene_5_and_3	Adult_Liver_Active_TSS
Rectal_Smooth_Muscle_Enhancers	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Flanking_Active_TSS
Muscle_Satellite_Cultured_Cells_Flanking_Active_TSS	Duodenum_Mucosa_Flanking_Active_TSS
ES_I3_Cell_Line_Transcr_at_gene_5_and_3	Dnd41_TCell_Leukemia_Flanking_Active_TSS
NH_A_Astrocytes_Enhancers	CD4_Memory_Primary_Cells_Flanking_Active_TSS
Brain_Substantia_Nigra_Enhancers	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Flanking_Active_TSS
NH_A_Astrocytes_Genic_enhancers	iPS_18_Cell_Line_Flanking_Active_TSS
Monocytes_CD14pp_RO01746_Genic_enhancers	iPS_DF_6.9_Cell_Line_Flanking_Active_TSS
Osteoblasts_Flanking_Active_TSS	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Flanking_Active_TSS
NHEK_Epidermal_Keratinocytes_ZNF_genes_and_repeats	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Flanking_Active_TSS
Thymus_ZNF_genes_and_repeats	HUES64_Cell_Line_Flanking_Active_TSS
Skeletal_Muscle_Male_Enhancers	NHLF_Lung_Fibroblasts_Flanking_Active_TSS
iPS_20b_Cell_Line_Enhancers	Skeletal_Muscle_Female_Flanking_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Flanking_Active_TSS	Pancreas_Flanking_Active_TSS
HeLa_S3_Cervical_Carcinoma_Genic_enhancers	Lung_Flanking_Active_TSS
Pancreas_Genic_enhancers	H1_Derived_Mesenchymal_Stem_Cells_Flanking_Active_TSS
Fetal_Kidney_Enhancers	Osteoblasts_Flanking_Active_TSS
ES_I3_Cell_Line_Enhancers	Right_Ventricle_Flanking_Active_TSS
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Enhancers	Colonic_Mucosa_Flanking_Active_TSS
Fetal_Thymus_Flanking_Active_TSS	CD3_Primary_Cells_Cord_BI_Flanking_Active_TSS
NH_A_Astrocytes_Transcr_at_gene_5_and_3	CD8_Memory_Primary_Cells_Flanking_Active_TSS
iPS_18_Cell_Line_Genic_enhancers	CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Flanking_Active_TSS
Thymus_Genic_enhancers	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Active_TSS
Adipose_Nuclei_Enhancers	Rectal_Mucosa.Donor_29_Flanking_Active_TSS
Ovary_Genic_enhancers	CD4_Naive_Primary_Cells_Flanking_Active_TSS
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Enhancers	Fetal_Heart_Flanking_Active_TSS
Monocytes_CD14pp_RO01746_Flanking_Active_TSS	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Transcr_at_gene_5_and_3
K562_Leukemia_Flanking_Active_TSS	Esophagus_Flanking_Active_TSS
Stomach_Mucosa_Transcr_at_gene_5_and_3	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Flanking_Active_TSS
CD19_Primary_Cells_Peripheral_UW_Flanking_Active_TSS	Muscle_Satellite_Cultured_Cells_Flanking_Active_TSS
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Genic_enhancers	iPS_15b_Cell_Line_Flanking_Active_TSS
Dnd41_TCell_Leukemia_Flanking_Active_TSS	NHEK_Epidermal_Keratinocytes_Flanking_Active_TSS
IMR90_Cell_Line_Enhancers	Skeletal_Muscle_Male_Flanking_Active_TSS
Gastric_ZNF_genes_and_repeats	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Flanking_Active_TSS
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_ZNF_genes_and_repeats	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Flanking_Active_TSS
Skeletal_Muscle_Female_Enhancers	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Transcr_at_gene_5_and_3
Sigmoid_Colon_ZNF_genes_and_repeats	HSMM_Skeletal_Muscle_Myoblasts_Flanking_Active_TSS
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Active_TSS	CD56_Primary_Cells_Active_TSS
CD56_Primary_Cells_Transcr_at_gene_5_and_3	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Flanking_Active_TSS
Gastric_Enhancers	Stomach_Smooth_Muscle_Flanking_Active_TSS
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS	Gastric_Flanking_Active_TSS
Fetal_Muscle_Trunk_Transcr_at_gene_5_and_3	Spleen_Flanking_Active_TSS
Fetal_Thymus_ZNF_genes_and_repeats	Monocytes_CD14pp_RO01746_Active_TSS
Thymus_Transcr_at_gene_5_and_3	CD4pp_CD25pp_CD127__Treg_Primary_Cells_Active_TSS
Brain_Cingulate_Gyrus_Genic_enhancers	Fetal_Stomach_Transcr_at_gene_5_and_3
Fetal_Placenta_Transcr_at_gene_5_and_3	CD3_Primary_Cells_Peripheral_UW_Active_TSS
Lung_ZNF_genes_and_repeats	Mobilized_CD34_Primary_Cells_Male_Flanking_Active_TSS
Mobilized_CD34_Primary_Cells_Male_Genic_enhancers	Right_Atrium_Flanking_Active_TSS
Fetal_Heart_Genic_enhancers	HeLa_S3_Cervical_Carcinoma_Flanking_Active_TSS
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Enhancers	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Flanking_Active_TSS
iPS_DF_6.9_Cell_Line_Enhancers	NHDF_Ad_Adult_Dermal_Fibroblasts_Flanking_Active_TSS
Fetal_Brain_Male_Enhancers	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS
Aorta_Enhancers	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Active_TSS
H9_Derived_Neuron_Cultured_Cells_ZNF_genes_and_repeats	HUES48_Cell_Line_Flanking_Active_TSS
Gastric_Genic_enhancers	CD15_Primary_Cells_Flanking_Active_TSS
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Transcr_at_gene_5_and_3	HUES6_Cell_Line_Flanking_Active_TSS
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Transcr_at_gene_5_and_3	Right_Atrium_Transcr_at_gene_5_and_3
Brain_Germinal_Matrix_Flanking_Active_TSS	Dnd41_TCell_Leukemia_Flanking_Bivalent_TSS_Enh
NH_A_Astrocytes_ZNF_genes_and_repeats	Pancreatic_Islets_Flanking_Active_TSS
HUES48_Cell_Line_Genic_enhancers	iPS_DF_19.11_Cell_Line_Flanking_Active_TSS
IMR90_Cell_Line_ZNF_genes_and_repeats	Adipose_Nuclei_Active_TSS
Brain_Angular_Gyrus_Transcr_at_gene_5_and_3	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Flanking_Active_TSS
HUES48_Cell_Line_Transcr_at_gene_5_and_3	CD4pp_CD25__Th_Primary_Cells_Active_TSS
iPS_15b_Cell_Line_ZNF_genes_and_repeats	hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Flanking_Active_TSS
Fetal_Brain_Male_ZNF_genes_and_repeats	CD15_Primary_Cells_Active_TSS
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Genic_enhancers	Fetal_Muscle_Leg_Transcr_at_gene_5_and_3
CD56_Primary_Cells_Flanking_Active_TSS	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Flanking_Active_TSS
NH_A_Astrocytes_Flanking_Active_TSS	Aorta_Flanking_Active_TSS
Brain_Hippocampus_Middle_Genic_enhancers	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Flanking_Active_TSS
HepG2_Hepatocellular_Carcinoma_Active_TSS	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Flanking_Active_TSS
Fetal_Stomach_Enhancers	K562_Leukemia_Flanking_Active_TSS
GM12878_Lymphoblastoid_Transcr_at_gene_5_and_3	Peripheral_Blood_Mononuclear_Primary_Cells_Active_TSS
