Embedding-based	Giggle-legacy
CD3_Primary_Cells_Cord_BI_Strong_transcription	CD4_Memory_Primary_Cells_Weak_Repressed_PolyComb
CD4pp_CD25pp_CD127__Treg_Primary_Cells_Weak_transcription	CD3_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb
HMEC_Mammary_Epithelial_Heterochromatin	Skeletal_Muscle_Male_Weak_Repressed_PolyComb
IMR90_Cell_Line_Strong_transcription	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Repressed_PolyComb
Rectal_Mucosa.Donor_31_Weak_transcription	H1_Derived_Mesenchymal_Stem_Cells_Repressed_PolyComb
Brain_Hippocampus_Middle_Strong_transcription	Fetal_Placenta_Weak_Repressed_PolyComb
Fetal_Intestine_Large_Strong_transcription	CD4pp_CD25__Th_Primary_Cells_Repressed_PolyComb
Fetal_Muscle_Leg_Weak_transcription	CD34_Cultured_Cells_Repressed_PolyComb
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Strong_transcription	Stomach_Smooth_Muscle_Repressed_PolyComb
Breast_Myoepithelial_Cells_Weak_transcription	Psoas_Muscle_Weak_Repressed_PolyComb
CD3_Primary_Cells_Cord_BI_Weak_transcription	NHLF_Lung_Fibroblasts_Weak_Repressed_PolyComb
Thymus_Strong_transcription	Spleen_Weak_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Weak_transcription	CD19_Primary_Cells_Cord_BI_Weak_Repressed_PolyComb
iPS_15b_Cell_Line_Weak_transcription	NHEK_Epidermal_Keratinocytes_Weak_Repressed_PolyComb
Fetal_Intestine_Large_Weak_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Repressed_PolyComb
Rectal_Mucosa.Donor_31_Strong_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Strong_transcription	Brain_Substantia_Nigra_Weak_Repressed_PolyComb
4star_Weak_Repressed_PolyComb	Stomach_Mucosa_Repressed_PolyComb
Dnd41_TCell_Leukemia_Weak_transcription	CD56_Primary_Cells_Weak_Repressed_PolyComb
HepG2_Hepatocellular_Carcinoma_Strong_transcription	H1_Derived_Mesenchymal_Stem_Cells_Weak_Repressed_PolyComb
Brain_Inferior_Temporal_Lobe_Weak_transcription	iPS_15b_Cell_Line_Bivalent_Enhancer
Duodenum_Smooth_Muscle_Weak_transcription	H9_Derived_Neuron_Cultured_Cells_Weak_Repressed_PolyComb
Fetal_Heart_Weak_transcription	Neurosphere_Cultured_Cells_Cortex_Derived_Weak_Repressed_PolyComb
H1_BMP4_Derived_Trophoblast_Cultured_Cells_Weak_transcription	Small_Intestine_Weak_Repressed_PolyComb
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Strong_transcription	Muscle_Satellite_Cultured_Cells_Repressed_PolyComb
CD34_Primary_Cells_Weak_transcription	CD3_Primary_Cells_Peripheral_UW_Repressed_PolyComb
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Weak_transcription	Brain_Mid_Frontal_Lobe_Weak_Repressed_PolyComb
GM12878_Lymphoblastoid_Strong_transcription	Brain_Hippocampus_Middle_Weak_Repressed_PolyComb
Fetal_Placenta_Strong_transcription	Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Weak_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Strong_transcription	Adipose_Nuclei_Weak_Repressed_PolyComb
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Weak_transcription	Sigmoid_Colon_Weak_Repressed_PolyComb
Placenta_Amnion_Strong_transcription	CD4pp_CD25__Th_Primary_Cells_Weak_Repressed_PolyComb
Fetal_Stomach_Strong_transcription	Adipose_Nuclei_Repressed_PolyComb
iPS_DF_19.11_Cell_Line_Weak_transcription	NHEK_Epidermal_Keratinocytes_Repressed_PolyComb
Rectal_Mucosa.Donor_29_Weak_transcription	Fetal_Adrenal_Gland_Repressed_PolyComb
Brain_Germinal_Matrix_Weak_transcription	Right_Ventricle_Weak_Repressed_PolyComb
CD19_Primary_Cells_Cord_BI_Strong_transcription	Rectal_Mucosa.Donor_29_Repressed_PolyComb
Rectal_Mucosa.Donor_29_Strong_transcription	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb
CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Weak_transcription	CD4pp_CD25__IL17pp_PMA_Ionomcyin_stimulated_Th17_Primary_Cells_Repressed_PolyComb
Brain_Cingulate_Gyrus_Weak_transcription	Esophagus_Weak_Repressed_PolyComb
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb	Mobilized_CD34_Primary_Cells_Female_Weak_Repressed_PolyComb
Brain_Anterior_Caudate_Strong_transcription	H1_Derived_Neuronal_Progenitor_Cultured_Cells_Weak_Repressed_PolyComb
Colon_Smooth_Muscle_Strong_transcription	NHLF_Lung_Fibroblasts_Repressed_PolyComb
Fetal_Lung_Strong_transcription	Breast_vHMEC_Weak_Repressed_PolyComb
HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_transcription	CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Weak_Repressed_PolyComb
HUES6_Cell_Line_Weak_Repressed_PolyComb	IMR90_Cell_Line_Repressed_PolyComb
Breast_vHMEC_Weak_transcription	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Repressed_PolyComb
NHLF_Lung_Fibroblasts_Strong_transcription	Brain_Angular_Gyrus_Weak_Repressed_PolyComb
4star_Strong_transcription	Brain_Cingulate_Gyrus_Weak_Repressed_PolyComb
Colon_Smooth_Muscle_Weak_transcription	CD34_Primary_Cells_Weak_Repressed_PolyComb
Stomach_Smooth_Muscle_Weak_transcription	HUES6_Cell_Line_Bivalent_Enhancer
Duodenum_Mucosa_Strong_transcription	Osteoblasts_Repressed_PolyComb
Adult_Liver_Strong_transcription	Rectal_Mucosa.Donor_31_Repressed_PolyComb
HMEC_Mammary_Epithelial_Strong_transcription	CD8_Naive_Primary_Cells_Weak_Repressed_PolyComb
hESC_Derived_CD56pp_Ectoderm_Cultured_Cells_Weak_transcription	NHDF_Ad_Adult_Dermal_Fibroblasts_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Male_Heterochromatin	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Weak_Repressed_PolyComb
Fetal_Brain_Female_Weak_transcription	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb
Brain_Inferior_Temporal_Lobe_Strong_transcription	Muscle_Satellite_Cultured_Cells_Weak_Repressed_PolyComb
ES_I3_Cell_Line_Weak_transcription	Brain_Cingulate_Gyrus_Repressed_PolyComb
Fetal_Muscle_Trunk_Weak_transcription	iPS_18_Cell_Line_Bivalent_Enhancer
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Repressed_PolyComb	NHDF_Ad_Adult_Dermal_Fibroblasts_Weak_Repressed_PolyComb
Sigmoid_Colon_Strong_transcription	CD3_Primary_Cells_Peripheral_UW_Weak_Repressed_PolyComb
Breast_Myoepithelial_Cells_Strong_transcription	Small_Intestine_Repressed_PolyComb
NHLF_Lung_Fibroblasts_Weak_transcription	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Weak_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Strong_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Weak_Repressed_PolyComb
CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Weak_transcription	Fetal_Kidney_Repressed_PolyComb
Peripheral_Blood_Mononuclear_Primary_Cells_Strong_transcription	HUVEC_Umbilical_Vein_Endothelial_Cells_Repressed_PolyComb
IMR90_Cell_Line_Weak_transcription	Brain_Hippocampus_Middle_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_transcription	Brain_Inferior_Temporal_Lobe_Weak_Repressed_PolyComb
CD4pp_CD25__IL17__PMA_Ionomycin_stimulated_MACS_purified_Th_Primary_Cells_Strong_transcription	Ovary_Repressed_PolyComb
Lung_Weak_transcription	Peripheral_Blood_Mononuclear_Primary_Cells_Repressed_PolyComb
CD3_Primary_Cells_Peripheral_UW_Weak_transcription	Right_Ventricle_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin03_Heterochromatin	Stomach_Smooth_Muscle_Weak_Repressed_PolyComb
H9_Cell_Line_Strong_transcription	HSMM_Skeletal_Muscle_Myoblasts_Weak_Repressed_PolyComb
CD15_Primary_Cells_Heterochromatin	Osteoblasts_Weak_Repressed_PolyComb
Brain_Cingulate_Gyrus_Strong_transcription	ES_I3_Cell_Line_Bivalent_Enhancer
CD14_Primary_Cells_Repressed_PolyComb	CD19_Primary_Cells_Peripheral_UW_Repressed_PolyComb
CD4_Naive_Primary_Cells_Strong_transcription	Fetal_Placenta_Repressed_PolyComb
HSMM_Skeletal_Muscle_Myoblasts_Strong_transcription	GM12878_Lymphoblastoid_Weak_Repressed_PolyComb
Fetal_Stomach_Weak_transcription	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Repressed_PolyComb
iPS_18_Cell_Line_Strong_transcription	CD56_Primary_Cells_Repressed_PolyComb
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Strong_transcription	Adipose_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
Peripheral_Blood_Mononuclear_Primary_Cells_Weak_transcription	Placenta_Amnion_Repressed_PolyComb
Left_Ventricle_Weak_transcription	Mesenchymal_Stem_Cell_Derived_Adipocyte_Cultured_Cells_Weak_Repressed_PolyComb
Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Weak_transcription	HepG2_Hepatocellular_Carcinoma_Repressed_PolyComb
Fetal_Intestine_Small_Weak_transcription	Penis_Foreskin_Melanocyte_Primary_Cells_skin03_Repressed_PolyComb
hESC_Derived_CD184pp_Endoderm_Cultured_Cells_Weak_Repressed_PolyComb	Right_Atrium_Repressed_PolyComb
HUES48_Cell_Line_Heterochromatin	Brain_Anterior_Caudate_Weak_Repressed_PolyComb
HeLa_S3_Cervical_Carcinoma_Weak_transcription	hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Repressed_PolyComb
Right_Atrium_Weak_transcription	HUVEC_Umbilical_Vein_Endothelial_Cells_Weak_Repressed_PolyComb
Penis_Foreskin_Keratinocyte_Primary_Cells_skin02_Heterochromatin	Left_Ventricle_Repressed_PolyComb
NH_A_Astrocytes_Strong_transcription	Lung_Weak_Repressed_PolyComb
Brain_Angular_Gyrus_Weak_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_Repressed_PolyComb
GM12878_Lymphoblastoid_Heterochromatin	Fetal_Muscle_Trunk_Bivalent_Enhancer
Mobilized_CD34_Primary_Cells_Female_Heterochromatin	HepG2_Hepatocellular_Carcinoma_Weak_Repressed_PolyComb
Colonic_Mucosa_Strong_transcription	CD4pp_CD25__CD45RApp_Naive_Primary_Cells_Repressed_PolyComb
CD34_Primary_Cells_Strong_transcription	4star_Weak_Repressed_PolyComb
Fetal_Placenta_Heterochromatin	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Repressed_PolyComb
Fetal_Intestine_Small_Strong_transcription	Fetal_Adrenal_Gland_Weak_Repressed_PolyComb
Spleen_Weak_transcription	HSMM_Skeletal_Muscle_Myoblasts_Repressed_PolyComb
iPS_15b_Cell_Line_Strong_transcription	Colonic_Mucosa_Repressed_PolyComb
Brain_Mid_Frontal_Lobe_Weak_transcription	Brain_Inferior_Temporal_Lobe_Repressed_PolyComb
NHDF_Ad_Adult_Dermal_Fibroblasts_Strong_transcription	Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Female_Strong_transcription	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Weak_Repressed_PolyComb
NHEK_Epidermal_Keratinocytes_Strong_transcription	Ovary_Weak_Repressed_PolyComb
HUES64_Cell_Line_Heterochromatin	iPS_20b_Cell_Line_Bivalent_Enhancer
Breast_Myoepithelial_Cells_Heterochromatin	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Bivalent_Enhancer
CD34_Cultured_Cells_Strong_transcription	Brain_Mid_Frontal_Lobe_Repressed_PolyComb
Monocytes_CD14pp_RO01746_Heterochromatin	Fetal_Muscle_Leg_Bivalent_Enhancer
HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Strong_transcription	Colon_Smooth_Muscle_Repressed_PolyComb
CD4_Memory_Primary_Cells_Weak_transcription	Left_Ventricle_Weak_Repressed_PolyComb
H1_Derived_Mesenchymal_Stem_Cells_Weak_transcription	HMEC_Mammary_Epithelial_Weak_Repressed_PolyComb
Ovary_Strong_transcription	HepG2_Hepatocellular_Carcinoma_Bivalent_Enhancer
HUVEC_Umbilical_Vein_Endothelial_Cells_Repressed_PolyComb	Mobilized_CD34_Primary_Cells_Male_Weak_Repressed_PolyComb
Mobilized_CD34_Primary_Cells_Male_Strong_transcription	Pancreatic_Islets_Weak_Repressed_PolyComb
Placenta_Amnion_Weak_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Bivalent_Enhancer
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Strong_transcription	Rectal_Smooth_Muscle_Repressed_PolyComb
Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Weak_transcription	Brain_Angular_Gyrus_Repressed_PolyComb
hESC_Derived_CD56pp_Mesoderm_Cultured_Cells_Heterochromatin	iPS_DF_19.11_Cell_Line_Enhancers
H9_Cell_Line_Weak_transcription	HUES64_Cell_Line_Bivalent_Enhancer
Pancreas_Weak_Repressed_PolyComb	H1_Cell_Line_Bivalent_Enhancer
Rectal_Smooth_Muscle_Strong_transcription	CD8_Naive_Primary_Cells_Repressed_PolyComb
Brain_Substantia_Nigra_Strong_transcription	Brain_Substantia_Nigra_Repressed_PolyComb
Sigmoid_Colon_Weak_transcription	CD4pp_CD25__CD45ROpp_Memory_Primary_Cells_Repressed_PolyComb
CD8_Naive_Primary_Cells_Weak_transcription	IMR90_Cell_Line_Weak_Repressed_PolyComb
CD4_Naive_Primary_Cells_Weak_transcription	Dnd41_TCell_Leukemia_Repressed_PolyComb
iPS_20b_Cell_Line_Heterochromatin	Fetal_Stomach_Bivalent_Enhancer
iPS_20b_Cell_Line_Strong_transcription	K562_Leukemia_Weak_Repressed_PolyComb
IMR90_Cell_Line_Repressed_PolyComb	Pancreatic_Islets_Repressed_PolyComb
HUES6_Cell_Line_Strong_transcription	Sigmoid_Colon_Repressed_PolyComb
Left_Ventricle_Strong_transcription	HSMMtube_Skeletal_Muscle_Myotubes_Derived_from_HSMM_Weak_Repressed_PolyComb
NHEK_Epidermal_Keratinocytes_Heterochromatin	Breast_Myoepithelial_Cells_Repressed_PolyComb
Breast_vHMEC_Heterochromatin	Lung_Repressed_PolyComb
Ovary_Weak_transcription	Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells_Weak_Repressed_PolyComb
Stomach_Mucosa_Weak_transcription	Penis_Foreskin_Fibroblast_Primary_Cells_skin02_Bivalent_Poised_TSS
HUES48_Cell_Line_Strong_transcription	H9_Derived_Neuronal_Progenitor_Cultured_Cells_Bivalent_Enhancer
CD4pp_CD25int_CD127pp_Tmem_Primary_Cells_Weak_transcription	Adult_Liver_Repressed_PolyComb
CD15_Primary_Cells_Repressed_PolyComb	Brain_Anterior_Caudate_Repressed_PolyComb
CD19_Primary_Cells_Peripheral_UW_Strong_transcription	Penis_Foreskin_Melanocyte_Primary_Cells_skin01_Bivalent_Enhancer
H1_Derived_Mesenchymal_Stem_Cells_Heterochromatin	HUES48_Cell_Line_Bivalent_Enhancer
Penis_Foreskin_Fibroblast_Primary_Cells_skin01_Weak_Repressed_PolyComb	Dnd41_TCell_Leukemia_Weak_Repressed_PolyComb
